source,target,rating
219,110,5.5
176,220,5.5
1,223,8.5
60,1,8.5
60,7,8.5
39,2,9.0
202,176,5.5
176,202,5.5
60,224,7.0
1,225,5.5
225,1,5.5
225,209,5.5
29,1,7.0
29,219,5.5
219,29,5.5
1,132,5.5
1,227,5.5
227,1,5.5
60,228,5.5
225,45,5.5
60,214,6.0
199,185,5.5
185,199,5.5
60,230,5.5
60,231,5.5
231,60,5.5
7,232,6.5
1,104,5.5
104,1,6.0
33,1,9.0
62,149,5.5
29,171,5.5
206,233,5.5
233,206,5.5
232,7,6.0
60,208,6.5
208,60,6.5
206,234,5.5
234,206,5.5
235,7,7.5
222,7,6.0
104,202,6.5
202,104,6.5
202,236,5.5
236,202,5.5
202,237,5.5
237,202,10.0
149,238,5.5
238,149,5.5
39,239,5.5
239,64,5.5
239,39,5.5
202,135,6.0
135,202,6.0
2,7,7.5
2,60,7.5
2,62,9.0
2,77,6.0
7,2,7.5
7,39,7.5
7,41,7.5
7,21,7.5
7,72,6.0
7,62,8.0
208,62,5.5
206,240,5.5
240,206,6.0
62,208,5.5
231,241,5.5
39,143,6.0
143,39,6.0
241,231,5.5
60,242,8.0
242,60,8.0
135,2,5.5
204,7,5.5
1,64,6.5
64,1,6.5
202,244,5.5
244,60,6.0
202,56,5.5
56,202,5.5
164,60,7.5
60,164,7.5
204,80,5.5
56,114,5.5
149,80,7.5
1,245,5.5
241,80,6.5
35,246,5.5
246,35,5.5
1,247,5.5
247,1,5.5
80,241,6.5
80,64,5.5
80,204,5.5
80,149,7.5
80,81,9.0
228,60,6.0
72,21,5.5
35,248,6.0
248,35,6.0
244,245,6.0
245,244,6.0
245,250,5.5
250,245,5.5
60,251,5.5
60,250,6.5
250,60,6.5
7,175,6.0
166,206,5.5
206,166,5.5
60,244,7.0
166,158,5.5
215,249,5.5
249,215,5.5
60,243,7.5
243,60,8.0
60,252,5.5
252,60,5.5
253,95,5.5
143,7,7.5
7,143,7.0
1,234,5.5
234,1,5.5
251,245,5.5
245,251,5.5
60,88,6.0
88,60,7.0
88,104,6.5
104,88,6.5
60,255,5.5
255,60,5.5
29,251,6.0
166,7,6.5
251,29,6.0
251,60,7.5
251,1,7.5
251,202,7.5
1,251,6.0
164,163,5.5
206,256,5.5
256,206,5.5
60,257,10.0
6,258,5.5
258,6,5.5
64,219,5.5
258,259,5.5
259,258,6.0
1,260,5.5
7,260,7.0
1,261,5.5
261,1,5.5
202,158,5.5
256,153,5.5
202,240,6.0
240,202,6.0
244,113,5.5
244,114,5.5
207,262,5.5
262,207,5.5
23,263,6.0
60,264,7.0
60,265,7.0
265,60,7.0
149,266,5.5
266,149,5.5
35,267,5.5
267,35,5.5
202,141,5.5
141,202,5.5
6,268,6.5
266,60,7.5
229,215,5.5
215,229,5.5
141,41,5.5
242,141,5.5
141,242,5.5
215,221,6.0
268,6,6.5
221,215,6.0
221,269,5.5
269,221,5.5
269,3,5.5
41,141,5.5
60,269,5.5
153,7,5.5
249,167,5.5
221,171,5.5
1,109,5.5
202,230,5.5
171,221,5.5
171,235,6.0
235,171,5.5
64,7,6.5
177,1,7.0
60,77,7.0
149,25,10.0
1,271,5.5
271,1,5.5
221,272,5.5
272,221,5.5
202,153,7.0
60,261,6.0
261,60,6.0
60,273,6.0
23,231,5.5
7,243,7.0
230,202,6.0
144,78,7.5
144,153,5.5
269,7,5.5
7,269,5.5
1,274,5.5
274,1,5.5
141,1,6.0
1,141,5.5
141,273,5.5
141,275,5.5
60,276,6.5
276,60,6.5
141,256,5.5
270,277,5.5
256,141,5.5
277,270,5.5
202,127,5.5
167,249,5.5
275,141,5.5
221,202,7.0
202,221,7.0
221,64,5.5
206,221,5.5
221,206,5.5
273,60,6.5
60,279,6.0
219,64,7.5
219,109,5.5
219,21,7.5
279,60,9.0
202,278,6.5
278,202,6.5
206,29,5.5
29,206,5.5
280,281,5.5
206,282,5.5
242,274,5.5
282,206,5.5
283,284,10.0
7,240,6.0
7,285,5.5
202,286,5.5
286,202,5.5
256,287,5.5
287,256,5.5
202,288,5.5
288,202,5.5
257,265,7.0
257,242,7.5
257,104,7.5
257,60,7.5
202,134,6.0
134,202,5.5
37,219,6.0
219,37,6.0
290,215,5.5
215,290,5.5
284,283,10.0
245,291,5.5
291,245,5.5
292,202,5.5
217,149,5.5
149,217,5.5
224,257,7.0
224,60,7.5
224,144,5.5
144,224,5.5
224,171,5.5
171,224,5.5
135,293,5.5
21,60,7.5
199,104,5.5
7,294,5.5
294,7,5.5
293,204,5.5
204,293,5.5
231,28,5.5
274,295,6.0
295,274,6.0
202,292,5.5
249,64,5.5
230,101,6.0
1,296,5.5
64,249,5.5
229,297,5.5
297,229,5.5
4,282,6.0
282,4,6.0
298,299,5.5
299,298,5.5
257,29,7.5
271,202,5.5
202,271,5.5
272,7,6.0
7,272,6.0
37,301,5.5
301,37,5.5
60,299,6.0
299,60,6.5
29,302,5.5
135,303,5.5
303,135,5.5
64,301,5.5
301,64,5.5
214,60,6.5
29,304,5.5
304,29,5.5
7,254,5.5
254,7,5.5
17,254,5.5
7,135,6.0
284,21,5.5
282,305,5.5
305,282,5.5
282,306,5.5
306,282,5.5
60,229,6.0
229,60,6.0
144,282,5.5
282,144,5.5
206,307,5.5
39,308,6.0
307,206,5.5
1,180,5.5
180,1,5.5
235,20,5.5
29,198,5.5
198,29,5.5
198,60,6.0
29,274,6.0
280,29,5.5
274,29,6.0
29,280,5.5
202,206,6.5
206,202,6.5
274,204,5.5
204,274,5.5
204,186,6.0
186,204,6.0
7,266,6.0
60,223,8.5
257,279,7.0
15,167,5.5
167,15,5.5
171,309,5.5
309,171,5.5
310,282,5.5
257,274,7.5
28,231,5.5
202,204,6.0
204,202,6.0
21,308,8.0
1,311,5.5
311,1,5.5
1,312,5.5
312,1,5.5
60,312,7.0
312,60,6.0
206,273,6.0
273,206,6.0
304,93,5.5
93,304,5.5
93,62,6.5
312,221,5.5
21,93,9.0
93,21,9.0
7,314,6.0
257,314,7.0
7,249,5.5
314,257,7.0
274,108,5.5
254,17,6.0
41,233,6.0
45,313,5.5
45,315,5.5
60,202,6.5
64,316,5.5
316,64,5.5
316,274,5.5
64,317,5.5
317,64,5.5
45,318,5.5
318,45,5.5
319,284,5.5
76,110,6.5
257,275,7.0
312,62,5.5
62,312,5.5
313,45,10.0
284,319,5.5
320,60,5.5
240,7,7.0
214,221,5.5
221,214,5.5
108,7,5.5
7,108,5.5
202,322,5.5
322,202,5.5
314,7,7.0
249,323,5.5
323,249,5.5
215,324,5.5
7,219,5.5
219,7,6.0
7,228,5.5
228,7,5.5
324,215,5.5
62,304,5.5
304,62,5.5
62,325,5.5
62,202,6.0
202,62,7.0
7,326,5.5
326,7,5.5
62,285,5.5
285,62,5.5
57,7,9.0
321,274,6.0
274,321,6.0
274,327,5.5
327,274,5.5
29,328,5.5
328,29,5.5
322,329,5.5
329,322,5.5
199,219,5.5
313,135,5.5
321,202,6.5
202,321,6.5
239,28,5.5
7,296,7.0
257,334,6.5
257,338,7.5
321,345,5.5
345,321,5.5
345,346,5.5
202,289,6.0
289,202,6.0
29,347,5.5
29,186,5.5
186,29,5.5
296,7,7.5
308,39,7.0
308,21,6.5
308,1,6.5
214,202,5.5
202,214,5.5
101,315,0.0
257,268,8.0
249,349,5.5
349,249,7.5
257,283,6.5
340,60,8.0
257,336,6.5
35,251,5.5
251,35,5.5
239,219,5.5
219,239,5.5
266,350,6.0
350,266,6.0
7,4,7.0
60,340,5.5
60,21,5.5
324,204,5.5
346,345,5.5
321,215,5.5
215,321,5.5
62,293,6.5
293,62,6.5
202,7,7.5
202,251,6.0
352,4,5.5
7,202,7.0
353,144,5.5
144,353,5.5
7,354,5.5
354,7,5.5
64,353,5.5
141,285,5.5
350,353,6.0
353,350,6.0
135,355,5.5
355,135,5.5
202,356,5.5
356,202,5.5
310,7,7.5
41,357,6.0
285,141,5.5
324,202,5.5
202,324,5.5
304,1,5.5
353,304,5.5
304,353,5.5
257,359,7.5
257,21,7.5
346,257,5.5
204,324,5.5
60,254,6.5
339,60,6.5
1,139,6.0
139,202,5.5
202,139,5.5
139,1,6.0
219,359,5.5
359,257,6.5
257,244,7.5
359,60,6.5
270,135,5.5
135,270,5.5
37,93,6.0
285,360,6.5
285,7,6.0
7,134,6.5
288,307,5.5
202,4,8.5
324,1,5.5
1,324,5.5
144,366,5.5
249,367,5.5
367,249,5.5
7,368,5.5
368,7,5.5
254,60,6.5
39,298,6.5
298,39,6.5
325,62,6.0
358,7,6.5
358,202,6.5
202,358,6.5
228,293,5.5
249,62,5.5
62,249,5.5
356,370,5.5
370,356,5.5
249,371,5.5
371,249,5.5
356,1,5.5
1,356,5.5
372,257,7.5
41,257,6.0
372,41,5.5
41,372,5.5
293,296,7.5
202,363,6.5
363,202,7.0
257,295,7.0
41,265,5.5
265,41,5.5
7,142,6.5
149,17,6.0
17,149,6.0
17,375,6.0
17,7,7.0
29,62,6.0
62,29,5.5
33,325,5.5
325,33,5.5
339,257,7.0
202,377,5.5
377,202,5.5
33,202,5.5
202,33,5.5
41,201,5.5
374,35,5.5
257,284,7.0
366,346,5.5
346,366,5.5
366,144,5.5
215,378,5.5
378,215,5.5
322,379,5.5
379,322,5.5
372,380,5.5
380,372,5.5
6,219,7.0
219,6,6.0
219,375,6.0
273,141,6.0
285,60,5.5
60,285,5.5
360,285,6.5
309,382,5.5
382,309,5.5
248,383,5.5
383,248,5.5
178,384,5.5
384,178,5.5
372,385,5.5
385,372,5.5
134,7,6.5
386,348,5.5
348,386,5.5
353,386,5.5
386,353,5.5
386,387,5.5
387,386,5.5
383,339,5.5
339,383,5.5
148,388,5.5
380,186,5.5
186,380,5.5
346,171,5.5
143,380,5.5
380,143,5.5
134,389,5.5
389,134,5.5
134,390,5.5
390,134,5.5
390,391,5.5
391,390,5.5
257,392,7.5
4,202,9.0
4,125,6.0
125,4,6.0
330,7,10.0
143,351,5.5
351,143,5.5
393,7,5.5
393,342,5.5
342,393,5.5
7,393,5.5
342,395,10.0
266,233,6.0
77,396,5.5
396,77,5.5
357,266,6.0
249,393,5.5
357,347,6.0
393,249,5.5
257,397,7.5
77,20,6.5
77,308,5.5
7,159,5.5
156,353,5.5
353,156,5.5
346,399,5.5
4,19,8.0
399,346,5.5
347,202,5.5
257,400,7.5
400,257,7.5
57,401,5.5
401,57,5.5
401,402,5.5
171,346,6.0
402,401,5.5
393,387,6.0
387,393,6.0
393,347,5.5
347,393,5.5
80,403,5.5
403,80,5.5
288,404,5.5
404,288,5.5
215,288,5.5
288,215,5.5
401,230,6.0
230,401,6.0
347,405,5.5
405,347,5.5
345,7,5.5
7,345,6.0
235,348,5.5
348,235,5.5
235,406,5.5
406,235,5.5
64,407,5.5
393,408,5.5
408,393,6.0
4,2,8.0
155,7,7.5
7,155,7.0
198,230,7.5
293,7,6.0
353,409,5.5
409,353,5.5
410,198,6.0
410,7,5.5
410,320,6.5
410,201,10.0
312,409,5.5
409,312,5.5
198,330,6.5
330,198,6.5
198,411,5.5
411,198,5.5
257,177,7.0
198,412,5.5
412,198,5.5
198,2,9.0
2,198,7.5
320,410,5.5
298,412,6.5
412,298,6.5
257,414,7.0
257,415,7.5
414,60,7.5
202,347,6.0
1,51,5.5
412,392,5.5
1,384,5.5
384,1,5.5
392,412,5.5
239,37,5.5
37,239,5.5
7,418,6.0
396,392,5.5
418,7,6.0
392,396,5.5
1,399,5.5
399,1,5.5
418,104,6.0
149,64,6.0
104,418,6.0
257,340,8.0
236,152,5.5
320,142,5.5
142,320,5.5
356,104,6.0
104,356,6.5
215,404,5.5
404,215,5.5
259,219,5.5
219,259,5.5
300,64,5.5
64,300,5.5
270,421,5.5
421,270,5.5
405,423,5.5
423,405,5.5
257,372,8.0
333,257,7.0
387,401,6.5
401,387,6.5
330,80,6.5
80,330,6.5
257,341,7.0
104,427,6.5
427,104,5.5
353,202,6.5
202,353,6.5
144,7,5.5
7,144,5.5
350,347,6.5
256,428,5.5
428,256,5.5
143,35,6.5
283,428,5.5
350,77,5.5
77,256,5.5
256,77,5.5
428,283,5.5
77,350,5.5
7,429,5.5
429,7,5.5
77,125,5.5
125,77,6.0
256,402,5.5
402,256,5.5
371,35,6.0
347,350,6.5
257,332,6.5
394,430,5.5
257,339,7.0
366,410,0.0
366,432,5.5
432,410,0.0
423,421,5.5
421,423,5.5
239,15,6.0
386,377,5.5
383,423,5.5
423,383,5.5
423,387,5.5
387,423,5.5
270,7,7.0
353,433,5.5
433,353,6.0
257,297,7.0
215,434,5.5
45,435,5.5
435,45,5.5
433,421,5.5
421,433,6.0
286,80,5.5
80,286,5.5
404,166,5.5
166,404,5.5
405,433,5.5
433,405,5.5
433,404,6.0
404,433,6.0
7,293,6.0
7,410,4.5
257,322,7.0
198,288,5.5
178,181,6.0
433,436,5.5
436,433,5.5
288,198,5.5
181,178,6.0
202,301,7.0
430,394,5.5
301,202,7.0
393,203,5.5
203,393,5.5
301,437,5.5
437,301,5.5
1,438,5.5
438,1,5.5
434,215,5.5
7,270,7.5
15,297,6.0
203,439,5.5
439,203,5.5
404,51,5.5
404,308,5.5
308,404,5.5
439,184,5.5
257,105,8.0
441,60,5.5
1,442,5.5
320,443,6.0
442,1,5.5
440,444,5.5
443,320,6.0
444,440,5.5
180,445,5.5
445,180,6.5
257,310,7.0
443,410,0.0
399,408,5.5
408,399,5.5
325,353,5.5
353,325,5.5
298,446,5.5
446,298,5.5
1,144,7.5
144,1,7.5
214,443,6.0
257,309,6.5
443,214,6.0
378,203,5.5
352,296,6.0
219,1,10.0
219,446,6.0
7,365,5.5
365,7,5.5
446,219,6.0
310,25,5.5
363,25,6.0
1,219,6.5
436,448,5.5
448,436,5.5
202,310,5.5
7,449,5.5
449,7,5.5
310,202,5.5
1,47,6.5
257,431,7.0
397,278,9.0
397,62,6.5
397,3,6.5
397,257,7.5
320,1,6.5
1,320,6.5
304,322,5.5
322,304,5.5
297,15,6.0
322,35,5.5
363,450,5.5
450,363,5.5
254,296,6.0
203,378,6.0
206,198,5.5
198,285,6.0
285,198,5.5
51,451,10.0
451,51,10.0
451,452,5.5
452,451,5.5
51,453,5.5
51,1,5.5
384,51,7.5
453,51,5.5
453,454,5.5
257,41,7.0
198,455,5.5
443,456,6.0
35,322,5.5
35,143,6.5
35,374,5.5
35,353,5.5
198,457,5.5
457,198,5.5
198,421,5.5
421,198,5.5
198,416,5.5
353,198,5.5
198,353,5.5
416,198,5.5
346,458,5.5
458,346,5.5
443,459,5.5
456,443,6.0
459,443,5.5
459,378,5.5
375,460,5.5
460,375,6.5
460,7,5.5
460,235,5.5
460,439,5.5
438,464,5.5
464,438,5.5
408,465,5.5
405,256,5.5
256,405,5.5
4,466,5.5
465,408,5.5
427,441,6.0
441,427,6.0
408,144,6.0
144,408,6.0
466,4,5.5
441,345,6.0
345,441,6.0
467,21,5.5
21,467,5.5
467,468,5.5
467,463,5.5
1,464,5.5
7,460,6.0
408,469,5.5
464,1,5.5
35,464,5.5
468,134,5.5
134,468,5.5
469,408,5.5
463,467,3.5
463,468,5.5
468,463,5.5
432,274,7.5
463,462,6.0
462,463,6.0
408,470,5.5
470,408,5.5
464,35,5.5
45,62,7.5
257,312,7.0
423,468,5.5
468,423,5.5
468,467,3.5
51,404,5.5
51,384,7.5
412,471,5.5
471,412,5.5
350,472,5.5
202,441,5.5
441,202,5.5
1,431,5.5
431,1,5.5
472,350,5.5
7,473,5.5
427,467,0.0
473,7,6.0
257,369,7.0
463,425,5.5
425,463,5.5
235,455,6.0
455,235,6.0
257,417,7.0
459,475,5.5
401,476,5.5
248,197,5.5
401,383,6.0
383,401,5.5
468,386,5.5
386,468,5.5
249,7,7.5
257,264,7.5
405,477,5.5
256,469,6.0
469,256,6.0
406,257,5.5
425,478,5.5
393,405,5.5
405,393,5.5
478,425,5.5
424,7,6.0
7,424,6.0
393,479,5.5
479,393,5.5
409,148,5.5
148,409,5.5
257,376,8.0
257,373,7.0
477,405,5.5
479,477,5.5
477,479,5.5
257,269,7.5
257,420,8.0
144,401,6.5
435,480,5.5
480,435,5.5
322,479,6.0
479,322,6.0
401,144,6.5
398,346,7.5
224,462,6.0
346,398,7.5
7,310,4.5
7,481,5.5
481,7,6.0
394,393,6.5
393,394,6.5
257,250,7.5
257,214,7.5
423,4,5.5
405,198,5.5
322,310,0.0
454,453,5.5
454,101,5.5
408,454,6.0
454,408,5.5
383,482,5.5
482,383,5.5
64,186,5.5
186,64,5.5
378,7,5.5
7,378,5.5
462,483,6.0
421,472,5.5
399,484,5.5
484,399,5.5
408,387,5.5
387,408,5.5
6,198,6.0
387,472,5.5
484,228,5.5
228,484,5.5
383,348,5.5
348,383,5.5
304,485,5.5
485,304,5.5
1,486,5.5
486,1,10.0
383,487,5.5
202,60,7.5
468,488,5.5
488,468,5.5
468,489,5.5
489,468,5.5
21,490,9.0
412,77,5.5
77,412,5.5
64,256,5.5
256,64,5.5
489,132,5.5
132,489,5.5
1,416,5.5
64,104,10.0
416,1,5.5
350,489,6.0
489,350,6.0
350,492,6.0
492,350,6.0
132,202,6.0
202,132,6.0
198,472,6.0
144,57,5.5
57,144,5.5
472,198,5.5
472,399,5.5
472,412,6.0
387,493,5.5
440,7,6.0
493,387,5.5
7,440,6.0
132,7,10.0
494,386,5.5
386,494,5.5
7,489,5.5
489,7,5.5
7,447,6.5
171,493,5.5
493,171,5.5
447,7,7.0
455,4,6.0
198,443,6.0
443,198,6.0
